sample,cosine_similarity,reconstruction_error
TCGA-55-1596-01A-01W-0928-08,0.9192098444214833,26.62094529404399
TCGA-55-5899-01A-11D-1625-08,0.9641306966873283,74.50977404873187
TCGA-55-6642-01A-11D-1855-08,0.9263056008468262,21.333466911165743
TCGA-55-6712-01A-11D-1855-08,0.9486018260980065,28.253934611027148
TCGA-55-6968-01A-11D-1945-08,0.9815385718461302,130.11385307204475
TCGA-55-6969-01A-11D-1945-08,0.9465632002444232,58.24181660565158
TCGA-55-6970-01A-11D-1945-08,0.9387097540951063,24.01102931883811
TCGA-55-6972-01A-11D-1945-08,0.9815722059570927,58.04324951947181
TCGA-55-6979-01A-11D-1945-08,0.8907256078010559,19.4053914195848
TCGA-55-6982-01A-11D-1945-08,0.9884964440629704,61.337821145654594
TCGA-55-6983-01A-11D-1945-08,0.9274043046096467,16.9848559598825
TCGA-55-6985-01A-11D-1945-08,0.9727953567260528,70.65553075884557
TCGA-55-6987-01A-11D-1945-08,0.9264145386381113,30.115686821466447
TCGA-55-7227-01A-11D-2036-08,0.9145030010843247,25.48438737878273
TCGA-55-7281-01A-11D-2036-08,0.957707602831835,61.80450022383059
TCGA-55-7283-01A-11D-2036-08,0.9410250018844593,34.3697291490821
TCGA-55-7570-01A-11D-2036-08,0.9645238159909503,53.97580217408469
TCGA-55-7574-01A-11D-2036-08,0.967385147190772,43.66318940324694
TCGA-55-7576-01A-11D-2063-08,0.9494715962193981,57.48012250641404
TCGA-55-7724-01A-11D-2167-08,0.9560966919087678,25.563000717815047
TCGA-55-7725-01A-11D-2167-08,0.9154057408680417,22.382073929554544
TCGA-55-7726-01A-11D-2167-08,0.9245213572333607,27.523853565686373
TCGA-55-7727-01A-11D-2167-08,0.9661723977716823,47.93036400113814
TCGA-55-7815-01A-11D-2167-08,0.8627423407102927,25.298394356349753
TCGA-55-7903-01A-11D-2167-08,0.935430628063558,24.93262811239643
TCGA-55-7907-01A-11D-2167-08,0.9875453193067085,188.62911578658955
TCGA-55-7910-01A-11D-2167-08,0.962521398349071,45.05477111177166
TCGA-55-7911-01A-11D-2167-08,0.9188155943570867,30.404768033106315
TCGA-55-7913-01B-11D-2238-08,0.9440474348479259,49.81851658486275
TCGA-55-7914-01A-11D-2167-08,0.9141146424491471,27.426865214348414
TCGA-55-7994-01A-11D-2184-08,0.9891248712577164,248.26162176505883
TCGA-55-7995-01A-11D-2184-08,0.9693812340523683,91.31386400315169
TCGA-55-8085-01A-11D-2238-08,0.9643730691316279,53.32479337713122
TCGA-55-8089-01A-11D-2238-08,0.9846467496522232,211.2993988680178
TCGA-55-8092-01A-11D-2238-08,0.9759132099982665,96.3342381771163
TCGA-55-8094-01A-11D-2238-08,0.9734006877929273,71.03133836859051
TCGA-55-8096-01A-11D-2238-08,0.8820121135117803,21.465344653422765
TCGA-55-8097-01A-11D-2238-08,0.9129986554505736,17.939216553669908
TCGA-55-8203-01A-11D-2238-08,0.9441826990037085,63.13188155748106
TCGA-55-8204-01A-11D-2238-08,0.9564275635249283,39.55750789137132
TCGA-55-8205-01A-11D-2238-08,0.979837702434509,88.17737159277094
TCGA-55-8207-01A-11D-2238-08,0.9558717483417888,49.67400107824737
TCGA-55-8208-01A-11D-2238-08,0.976636028122437,63.803910463545094
TCGA-55-8299-01A-11D-2284-08,0.9412146640828284,26.620679616709417
TCGA-55-8301-01A-11D-2284-08,0.9353931366918913,42.580079511134144
TCGA-55-8302-01A-11D-2323-08,0.966231996484719,114.36256708240978
TCGA-55-8506-01A-11D-2393-08,0.9862554369526919,267.3160231770188
TCGA-55-8507-01A-11D-2393-08,0.9805091315940166,160.12643676474656
TCGA-55-8508-01A-11D-2393-08,0.9185645383045676,27.18493407001339
TCGA-55-8510-01A-11D-2393-08,0.972874546939983,47.17024749238827
TCGA-55-8511-01A-11D-2393-08,0.9736535074125495,86.02376481802881
TCGA-55-8514-01A-11D-2393-08,0.9277905732468333,44.15649001921544
TCGA-55-8614-01A-11D-2393-08,0.9086113874140227,35.65923623325419
TCGA-55-8615-01A-11D-2393-08,0.8622420388586602,18.89257379895587
TCGA-55-8616-01A-11D-2393-08,0.9905338341491433,82.84128329443183
TCGA-55-8620-01A-11D-2393-08,0.9517334876221366,76.73588322515694
TCGA-55-A48X-01A-11D-A24D-08,0.9497165046094286,57.325089896814966
TCGA-55-A48Y-01A-11D-A24D-08,0.987571227372653,117.5870074746599
TCGA-55-A490-01A-11D-A24D-08,0.9841454176147283,217.01000752980949
TCGA-55-A491-01A-11D-A24D-08,0.9519608719219042,52.55546674060616
TCGA-55-A492-01A-11D-A24D-08,0.931055606785613,37.4986894850476
TCGA-55-A493-01A-11D-A24D-08,0.9532065579246918,43.30549935449008
TCGA-55-A494-01A-11D-A24P-08,0.9125035058835929,34.70878047546141
TCGA-55-A4DF-01A-11D-A24D-08,0.9936714402529088,202.67040257023737
TCGA-55-A4DG-01A-11D-A24D-08,0.9702407640779207,112.93878828465651
TCGA-5L-AAT0-01A-12D-A41F-09,0.9865147245596434,52.892277695759844
TCGA-5L-AAT1-01A-12D-A41F-09,0.9959533956055154,419.26523365841547
TCGA-62-8394-01A-11D-2323-08,0.9123609545542621,20.769025537927263
TCGA-62-8399-01A-21D-2323-08,0.9803095843401963,93.1949705304854
TCGA-62-A46O-01A-11D-A24D-08,0.976517785710432,133.44690188013405
TCGA-62-A46P-01A-11D-A24D-08,0.9712812941524034,47.05981457226104
TCGA-62-A46R-01A-11D-A24D-08,0.9133684169499787,24.278173720532006
TCGA-62-A46S-01A-11D-A24D-08,0.9021887944303981,20.94016437438798
