sample,cosine_similarity,n_snv,cancer_type
TCGA-55-1594-01A-01D-1040-01,0.9507334865553827,2.1903316981702914,Lung Adenocarcinoma
TCGA-55-1594-01A-01W-0928-08,0.9482500726455977,2.173186268412274,Lung Adenocarcinoma
TCGA-55-1595-01A-01D-0969-08,0.9451517507011375,2.481442628502305,Lung Adenocarcinoma
TCGA-55-1596-01A-01D-1040-01,0.9249005311309008,2.2833012287035497,Lung Adenocarcinoma
TCGA-55-1596-01A-01W-0928-08,0.9192098444214833,2.271841606536499,Lung Adenocarcinoma
TCGA-55-5899-01A-11D-1625-08,0.9641306966873283,2.6570558528571038,Lung Adenocarcinoma
TCGA-55-6642-01A-11D-1855-08,0.9263056008468262,2.0969100130080562,Lung Adenocarcinoma
TCGA-55-6712-01A-11D-1855-08,0.9486018260980065,2.1172712956557644,Lung Adenocarcinoma
TCGA-55-6968-01A-11D-1945-08,0.9815385718461302,2.7067177823367587,Lung Adenocarcinoma
TCGA-55-6969-01A-11D-1945-08,0.9465632002444232,2.59659709562646,Lung Adenocarcinoma
TCGA-55-6970-01A-11D-1945-08,0.9387097540951063,2.173186268412274,Lung Adenocarcinoma
TCGA-55-6972-01A-11D-1945-08,0.9815722059570927,2.423245873936808,Lung Adenocarcinoma
TCGA-55-6979-01A-11D-1945-08,0.8907256078010559,2.0253058652647704,Lung Adenocarcinoma
TCGA-55-6982-01A-11D-1945-08,0.9884964440629704,2.3324384599156054,Lung Adenocarcinoma
TCGA-55-6983-01A-11D-1945-08,0.9274043046096467,2.0211892990699383,Lung Adenocarcinoma
TCGA-55-6985-01A-11D-1945-08,0.9727953567260528,2.6424645202421213,Lung Adenocarcinoma
TCGA-55-6987-01A-11D-1945-08,0.9264145386381113,2.225309281725863,Lung Adenocarcinoma
TCGA-55-7227-01A-11D-2036-08,0.9145030010843247,2.2041199826559246,Lung Adenocarcinoma
TCGA-55-7281-01A-11D-2036-08,0.957707602831835,2.60959440922522,Lung Adenocarcinoma
TCGA-55-7283-01A-11D-2036-08,0.9410250018844593,2.3324384599156054,Lung Adenocarcinoma
TCGA-55-7570-01A-11D-2036-08,0.9645238159909503,2.568201724066995,Lung Adenocarcinoma
TCGA-55-7574-01A-11D-2036-08,0.967385147190772,2.3324384599156054,Lung Adenocarcinoma
TCGA-55-7576-01A-11D-2063-08,0.9494715962193981,2.5877109650189114,Lung Adenocarcinoma
TCGA-55-7724-01A-11D-2167-08,0.9560966919087678,2.2600713879850747,Lung Adenocarcinoma
TCGA-55-7725-01A-11D-2167-08,0.9154057408680417,2.110589710299249,Lung Adenocarcinoma
TCGA-55-7726-01A-11D-2167-08,0.9245213572333607,2.0453229787866576,Lung Adenocarcinoma
TCGA-55-7727-01A-11D-2167-08,0.9661723977716823,2.404833716619938,Lung Adenocarcinoma
TCGA-55-7815-01A-11D-2167-08,0.8627423407102927,2.1760912590556813,Lung Adenocarcinoma
TCGA-55-7903-01A-11D-2167-08,0.935430628063558,2.1789769472931693,Lung Adenocarcinoma
TCGA-55-7907-01A-11D-2167-08,0.9875453193067085,3.077731179652392,Lung Adenocarcinoma
TCGA-55-7910-01A-11D-2167-08,0.962521398349071,2.45484486000851,Lung Adenocarcinoma
TCGA-55-7911-01A-11D-2167-08,0.9188155943570867,2.326335860928751,Lung Adenocarcinoma
TCGA-55-7913-01B-11D-2238-08,0.9440474348479259,2.5224442335063197,Lung Adenocarcinoma
TCGA-55-7914-01A-11D-2167-08,0.9141146424491471,2.2528530309798933,Lung Adenocarcinoma
TCGA-55-7994-01A-11D-2184-08,0.9891248712577164,3.198931869932209,Lung Adenocarcinoma
TCGA-55-7995-01A-11D-2184-08,0.9693812340523683,2.79309160017658,Lung Adenocarcinoma
TCGA-55-8085-01A-11D-2238-08,0.9643730691316279,2.4345689040341987,Lung Adenocarcinoma
TCGA-55-8089-01A-11D-2238-08,0.9846467496522232,3.101403350555331,Lung Adenocarcinoma
TCGA-55-8092-01A-11D-2238-08,0.9759132099982665,2.761927838420529,Lung Adenocarcinoma
TCGA-55-8094-01A-11D-2238-08,0.9734006877929273,2.6570558528571038,Lung Adenocarcinoma
TCGA-55-8096-01A-11D-2238-08,0.8820121135117803,2.1271047983648077,Lung Adenocarcinoma
TCGA-55-8097-01A-11D-2238-08,0.9129986554505736,2.0043213737826426,Lung Adenocarcinoma
TCGA-55-8203-01A-11D-2238-08,0.9441826990037085,2.59659709562646,Lung Adenocarcinoma
TCGA-55-8204-01A-11D-2238-08,0.9564275635249283,2.3521825181113627,Lung Adenocarcinoma
TCGA-55-8205-01A-11D-2238-08,0.979837702434509,2.7234556720351857,Lung Adenocarcinoma
TCGA-55-8207-01A-11D-2238-08,0.9558717483417888,2.5118833609788744,Lung Adenocarcinoma
TCGA-55-8208-01A-11D-2238-08,0.976636028122437,2.5010592622177517,Lung Adenocarcinoma
TCGA-55-8299-01A-11D-2284-08,0.9412146640828284,2.214843848047698,Lung Adenocarcinoma
TCGA-55-8301-01A-11D-2284-08,0.9353931366918913,2.456366033129043,Lung Adenocarcinoma
TCGA-55-8302-01A-11D-2323-08,0.966231996484719,2.8369567370595505,Lung Adenocarcinoma
TCGA-55-8506-01A-11D-2393-08,0.9862554369526919,3.215373152783422,Lung Adenocarcinoma
TCGA-55-8507-01A-11D-2393-08,0.9805091315940166,2.9960736544852753,Lung Adenocarcinoma
TCGA-55-8508-01A-11D-2393-08,0.9185645383045676,2.2405492482826,Lung Adenocarcinoma
TCGA-55-8510-01A-11D-2393-08,0.972874546939983,2.4668676203541096,Lung Adenocarcinoma
TCGA-55-8511-01A-11D-2393-08,0.9736535074125495,2.7427251313046983,Lung Adenocarcinoma
TCGA-55-8514-01A-11D-2393-08,0.9277905732468333,2.424881636631067,Lung Adenocarcinoma
TCGA-55-8614-01A-11D-2393-08,0.9086113874140227,2.383815365980431,Lung Adenocarcinoma
TCGA-55-8615-01A-11D-2393-08,0.8622420388586602,2.0969100130080562,Lung Adenocarcinoma
TCGA-55-8616-01A-11D-2393-08,0.9905338341491433,2.6794278966121188,Lung Adenocarcinoma
TCGA-55-8620-01A-11D-2393-08,0.9517334876221366,2.6981005456233897,Lung Adenocarcinoma
TCGA-55-A48X-01A-11D-A24D-08,0.9497165046094286,2.5276299008713385,Lung Adenocarcinoma
TCGA-55-A48Y-01A-11D-A24D-08,0.987571227372653,2.5575072019056577,Lung Adenocarcinoma
TCGA-55-A490-01A-11D-A24D-08,0.9841454176147283,3.1202447955463652,Lung Adenocarcinoma
TCGA-55-A491-01A-11D-A24D-08,0.9519608719219042,2.546542663478131,Lung Adenocarcinoma
TCGA-55-A492-01A-11D-A24D-08,0.931055606785613,2.401400540781544,Lung Adenocarcinoma
